"Am" "Ao" "As" "Be" "Cb" "Cj" "Dc" "Dg" "Fr" "Ga" "Hl" "Hp" "Hs" "Lp" "Pg" "Pm" "Pt" "Ra" "Sp" "To" "Block" "Plot_Nr"
"229" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 229
"230" 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 3 230
"231" 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1 0 1 1 3 231
"232" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 232
"233" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 233
"234" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 234
"235" 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 3 235
"236" 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1 0 1 0 0 3 236
"237" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 3 237
"238" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 3 238
"239" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 3 239
"240" 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 0 0 0 3 240
"241" 0 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 1 0 0 3 241
"242" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 242
"243" 0 0 1 0 1 0 0 1 0 1 1 0 1 0 0 0 0 1 0 1 3 243
"244" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 3 244
"245" 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 3 245
"246" 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 3 246
"247" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 247
"248" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 248
"249" 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 1 1 0 0 3 249
"250" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 3 250
"251" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 251
"252" 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 3 252
"253" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 4 253
"254" 1 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 4 254
"255" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 4 255
"256" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 4 256
"257" 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 4 257
"258" 1 1 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 4 258
"259" 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 4 259
"260" 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 4 260
"261" 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 4 261
"262" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 262
"263" 0 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 4 263
"264" 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 4 264
"265" 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 4 265
"266" 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 4 266
"267" 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 4 267
"268" 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 4 268
"269" 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 0 0 0 1 4 269
"270" 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 4 270
"271" 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 0 1 0 4 271
"272" 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 4 272
"273" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 4 273
"274" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 274
"275" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 275
"276" 0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 4 276
"277" 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 4 277
"278" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 278
